INSTNM,WEAPON,DRUG,LIQUOR,MURD,FORCIB,NONFOR,ROBBE,AGG_A,BURGLA,VEHIC,ARSON,BURGLA_RAC,SIM_A,SIM_A_RAC,SIM_A_SEX,LAR_T,LAR_T_RAC,INTIM,INTIM_RAC,INTIM_REL,INTIM_SEX,INTIM_GEN,INTIM_ETH,VANDAL,VANDAL_RAC,VANDAL_REL,VANDAL_SEX,VANDAL_GEN,VANDAL_ETH,RAPE,FONDL,STATR,confidence_score
University of Central Arkansas,57.84269898,5.948030697,47.84602697,100,1.146044997,100,73.02513844,32.07020608,51.01526964,17.42748487,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,41.03670187,100,100,82.10492508
University of Wisconsin-Stevens Point,11.63925568,101.0624802,104.4203941,100,26.93611285,100,77.61417692,0.666765059,67.79052684,73.35136976,101.9497934,100,100,100,100,100,100,1.741594551,14.71464105,100,167.8513901,100,100,45.22760765,42.28230656,100,100,100,100,86.55438557,115.0638643,100,82.46458327
San Francisco State University,43.44069254,84.53662652,62.14287511,100,64.36196661,100,3.73077651,66.41439538,21.48475973,136.3829842,33.45499844,100,54.55394418,100,100,100,100,89.52339457,73.65381213,100,100,100,100,100,100,100,100,100,100,37.64620852,67.85301015,100,82.47438889
Mesa State College,51.14539021,16.32298852,45.73761025,100,57.92948793,100,8.159770548,11.89415415,12.12116603,37.52637087,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,82.52615433
California Polytechnic State University-San Luis Obispo,5.09583759,70.74680579,63.0037846,100,69.79710314,100,81.90070656,77.67569973,54.00396896,0.254115967,49.28421926,100,100,100,100,100,100,68.66297341,100,189.047303,100,100,100,49.38931547,1.396424962,100,53.6117596,100,100,6.745441827,26.28020947,274.1406679,82.53238554
University of New Mexico-Main Campus,5.456359724,42.26056126,50.41168079,100,52.93193771,100,7.432506826,71.83484557,16.8899303,775.2599932,11.34419646,100,51.3337013,17.47725384,100,100,100,23.40859072,153.9173715,100,11.3927359,100,100,36.58307536,5.863875415,14.81589915,66.78511016,100,100,0.853559674,26.22455937,100,82.57742951
North Dakota State University-Main Campus,13.92901011,57.86243264,14.72671322,100,33.77677204,100,100,71.74884563,58.53885232,61.14971201,28.80740243,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,55.13570238,46.9012367,100,82.58052123
Oregon State University,59.09737949,52.13619041,5.809441726,100,38.68630688,100,82.9129917,23.50296963,25.1015678,51.1030246,82.69328738,100,0.185568965,100,232.1508468,100,100,3.545263976,42.13513791,324.4815876,100,100,100,81.41886856,51.7317735,100,100,100,100,5.587941816,8.21307865,174.7228966,82.66300387
University of Louisville,24.68824653,63.47522394,66.43991892,100,85.03375291,100,25.84548768,46.02047899,39.98075799,8.653073287,65.06790495,100,100,100,100,100,100,100,100,100,100,100,100,88.15723958,100,100,56.5811194,100,100,92.06497851,84.99980226,100,82.71899953
Medaille College,61.476943,4.09074405,16.55556321,100,50.23955545,100,3.442304714,38.94723696,41.4564591,83.57933751,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,47.23457466,100,100,82.71945996
Hofstra University,37.64769966,52.68035023,79.68479938,100,48.44776598,100,40.24378743,47.08330375,64.88679862,43.71716159,100,100,100,100,100,100,100,100,100,100,100,100,100,55.01286399,100,111.4997003,100,100,100,20.57117707,48.15139138,100,82.80083748
Longwood University,0.034478352,1.026815479,48.9962775,100,7.679238115,100,47.76343361,9.797433991,7.136770139,42.13413426,49.73407349,100,100,100,100,100,100,100,100,100,100,100,100,2.247630528,100,100,274.8684855,100,100,202.5819655,61.14753767,100,82.97338357
University of Wisconsin-Milwaukee,19.74889445,27.63371916,17.39248255,287.5541195,32.30315474,100,56.89671293,80.80149211,30.41046055,60.9057485,50.62237757,100,100,100,100,100,100,100,100,100,100,100,100,29.6915093,73.90850755,100,63.17562248,100,109.0752487,60.74258557,56.74536088,100,83.05024989
Auburn University,35.52398414,74.12624578,38.9981226,100,41.95355888,100,81.63539172,60.3597895,35.81463845,45.03349538,91.164101,100,100,100,100,100,100,100,100,100,100,100,100,7.840415905,6.62094255,100,163.5821367,100,100,93.97862782,81.78771946,100,83.07559906
Central Connecticut State University,79.63712735,43.61684279,3.942048847,100,6.478810413,100,65.97376211,78.57824662,43.03058333,36.34824202,59.07176498,100,11.80565391,100,272.0538427,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30.27191245,31.45749463,100,83.19582288
University of North Carolina at Charlotte,116.7379122,35.84797538,23.14220727,100,58.96544613,342.9726616,57.61866761,59.80398947,14.70227915,12.2008113,2.678162917,100,100,100,100,100,100,100,100,100,100,100,100,81.14612776,51.02327442,100,100,100,100,1.043954658,5.074486685,100,83.21743614
New York University,84.16195769,10.82441401,32.21289682,100,67.41860324,100,34.93953582,61.12286487,54.18966069,87.24801356,78.77761391,100,100,100,100,100,100,39.85883113,49.58638895,38.36314221,47.22284511,100,220.1264301,51.43467558,100,23.89267634,60.43242269,100,349.3002528,50.58696263,23.44988487,100,83.28593978
Barry University,46.10736424,57.78473707,35.52014748,100,91.61210285,100,26.75664159,47.30113303,6.750241579,12.10230509,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,66.64587471,77.30130268,100,83.37130782
The University of Texas at Austin,63.92868976,67.96166064,75.24505781,100,73.94910315,100,41.23193083,12.2148138,32.11750022,19.92961842,34.74881568,100,256.4996794,186.8556163,100,100,100,100,100,100,100,100,100,22.57436905,14.93065744,47.99942765,18.8959787,100,100,100,100,100,83.40884121
University of Alabama in Huntsville,20.25018491,37.98271948,73.5216764,100,30.96541109,100,49.76566583,15.66449228,66.46037045,60.13321492,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,72.54868189,45.30150445,100,83.51856005
